00 LOC0
01 APPLE2E
01 LOCI
20 WNDLFT
21 WNWDTH
22 WNDTOP
23 WDBTM
24 CH
25 CV
26 GBASL
27 GBASH
28 BASL
29 BASH
2A BAS2L
2B BAS2H
2C H2
2C LMNEM
2D V2
2D RMNEM
2E MASK
2E CHKSUM
2E FORMAT
2F LASTIN
2F LENGTH
2F SIGN
30 COLOR
31 MODE
32 INVFLQ
33 PROMPT
34 YSAV
35 YSAVl
36 CSWL
37 CSWH
38 KSWL
39 KSWH
3A PCL
3B PCH
3C A1L
3D A1H
3E A2L
3F A2H
40 A3L
41 A2H
42 A4L
43 A4H
44 A5L
45 A5H
45 ACC
46 XREG
47 YREG
48 STATUS
49 SPNT
4E RNDL
4F RNDH
95 PICK
0200 IN
03F0 BRKV
03F2 SOFTEV
03F4 PWREDUP
03F5 AMPERV
03F8 USRADR
03FB NMI
03FE IRQLOC
0400 LINE1
07F8 MSLOT
C000 IOADR
C000 KBD
C006 SETSLOTCXROM
C007 SETINTCXROM
C010 KBDSTRB
C015 RDCXROH
C018 RD80STORE
C01C RDPAGE2
C020 TAPEOUT
C030 SPKR
C050 TXTCLR
C051 TXTSET
C052 MIXCLR
C053 MIXSET
C054 LOWSCR
C055 HISCR
C056 LORES
C057 HIRES
C058 SETAN0
C059 CLRAN0
C05A SETAN1
C05B CLRAN1
C05C SETAN2
C05D CLRAN2
C05E SETAN3
C05F CLRAN3
C060 TAPEIN
C064 PADDL0
C070 PTRIG
CFFF CLRROM
E000 8ASIC
E003 BASIC2
F800 PLOT
F80C RTMASK
F80E PLOT1
F819 HLINE
F81C HLINEI
F826 VLINEZ
F828 VLINE
F831 RTS1
F832 CLRSCR
F836 CLRTOP
F838 CLRSC2
F83C CLRSC3
F847 GBASCALC
F856 GBCALC
F85F NXTCOL
F864 SETCOL
F871 SCRN
F879 SCRN2
F87F RTMSKZ
F882 INSDS1
F88C INSDS2
F89B IEVEN
F8A5 ERR
F8A9 GETFMT
F8BE MNNDXl
F8C2 MNNDX2
F8C9 MNNDX3
F8D0 INSTDSP
F8D4 PRNTOP
F8DB PRNTBL
F8F5 PRMNI
F8F9 PRMN2
F910 PRADR1
F914 PRADR2
F926 PRADR3
F92A PRADR4
F930 PRADR5
F93B RELADR
F940 PRNTYX
F941 PRNTAX
F944 PRNTX
F948 PRBLNK
F94A PRBL2
F94C PRBL3
F953 PCADJ
F954 PCADJ2
F956 PCADJ3
F95C PCADJ4
F961 RTS2
F962 FMT1
F9A6 FMT2
F9B4 CHARl
F9BA CHAR2
F9C0 MNEML
FA00 MNEMR
FA40 IRQ
FA4C BREAK
FA59 OLDBRK
FA62 RESET
FA6F INITAN
FA81 NEWMON
FA9B FIXSEV
FAA3 NOFIX
FAA6 PWRUP
FAA9 SETPG3
FAAB SETPLP
FABA SLDOP
FAC7 NXTBYT
FAD7 REGDSP
FADA RGDSPI
FAE4 RDSP1
FAFD PWRCON
FB02 DISKID
FB09 TITLE
FB11 XLTBL
FB19 RT8L
FB1E PREAD
FB25 PREAD2
FB2E RTS2D
FB2F INIT
FB39 SETTXT
FB40 SETGR
FB4B SETWND
FB5B TA8V
FB60 APPLEII
FB65 STITLE
FB6F SETPWRC
FB78 VIDWAIT
FB88 KBDWAIT
FB94 NOWAIT
FB97 ESCOLD
FB9B ESCNOW
FBA5 ESCNEW
FBB3 VERSION
FBB4 GOTOCX
FBC1 BASCALC
FBD0 8ASCLC2
FBD9 BELL1
FBE4 BELL2
FBEF RTS2B
FBF0 STORADV
FBF4 ADVANCE
FBFC RTS3
FBFD VIDOUT
FC10 BS
FC1A UP
FC22 VTAB
FC24 VTABZ
FC2B RTS4
FC2C ESC1
FC42 CLREOP
FC58 HOME
FC62 CR
FC66 LF
FC70 SCROLL
FC72 XGOTOCX
FC84 RDCX
FC91 ISSLOTS
FC99 ISPAGE1
FC9C CLREOL
FC9E CLREOLZ
FCA8 WAIT
FCA9 WAIT2
FCAA WAITJ
FCB4 NXTA4
FCBA NXTA1
FCC8 RTS4B
FCC9 HEADR
FCD6 WRBIT
FCDB ZERDLY
FCE2 ONEDLY
FCE5 WRTAPE
FCEC RDBYTE
FCEE RDBYT2
FCFA RS2BIT
FCFD RDBIT
FD0C RDKEY
FD1B KEYIN
FD21 RDESC
FD2F ESC
FD35 RDCHAR
FD3D NOTCR
FD5F NOTCR1
FD62 CANCEL
FD67 GETLNZ
FD6A GETLN
FD71 BCKSPC
FD75 NXTCHAR
FD7E CAPTST
FD84 ADDINP
FD8E CROUT
FD92 PRA1
FD96 PRYX2
FDA3 XAMB
FDAD MODBCHK
FDB3 XAH
FDB6 DATAOUT
FDC5 RTS4C
FDC6 XAMPM
FDD1 ADD
FDDA PRBYTE
FDE3 PRHEX
FDE5 PRHEXZ
FDED COUT
FDF0 COUT1
FDF6 COUTZ
FE00 BL1
FE04 BLANK
FE0B STOR
FE17 RTS5
FE1B SETMODE
FE1D SETMDZ
FE20 LT
FE22 LT2
FE2C MOVE
FE36 VFY
FE58 VFYOK
FE5E LIST
FE63 LIST2
FE75 A1PC
FE78 A1PCLP
FE7F A1PCRTS
FE80 SETINV
FE84 SETNORM
FE86 SETIFLG
FE89 SETKBD
FE8B IMPORT
FE8D INPRT
FE93 SETVID
FE95 OUTPORT
FE97 OUTPRT
FE9B IOPRT
FEA7 IOPRT1
FEA9 IOPRT2
FEAF CKSUMFIX
FEB0 XBASIC
FEB3 BASCONT
FEB6 GO
FEBF REGZ
FEC2 TRACE
FEC4 STEPZ
FECA USR
FECD WRITE
FED4 WRI
FEED WRBYTE
FEEF WRBYT2
FEF6 CRMON
FEFD READ
FF0A RD2
FF16 RD3
FF2D PRERR
FF3A BELL
FF3F RESTORE
FF44 RESTR1
FF4A SAVE
FF4C SAV1
FF59 OLDRST
FF65 MON
FF69 MONZ
FF73 NXTITM
FF7A CHRSRCH
FF8A DIG
FF90 NXTBIT
FF98 NXTBAS
FFA2 NXTBS2
FFA7 GETNUM
FFAD NXTCHR
FFBE TOSUB
FFC7 ZMODE
FFCC CHRTBL
FFE3 SUBTBL

